Name,Comp,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Type,MaxSep,RAdeg,DEdeg,rpos,Author,Date,BibCode,Author2,Date2,BibCode2,RApdeg,DEpdeg,RAcdeg,DEcdeg,zsource,zdef,r_zsource,zmilli,f_zmilli,r_zmilli,zqsocdr3,f_zqsocdr3,zSHSRC,f_zSHSRC,r_zSHSRC,inFPR,GLens,CompId,nObsComp,RACodeg,e_RACodeg,DECodeg,e_DECodeg,GmagComp,e_GmagComp,f_GLens,f_CompId,inDR3,GaiaDR3,RAGdeg,e_RAGdeg,DEGdeg,e_DEGdeg,plx,e_plx,Rplx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,E(BP/RP),BP-RP,Gmagc,e_Gmagc,inAllWISE,AllWISE,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag
J0440-0905,A,04,40,11.5620,-,09,05,29.050,Double,1.688000,70.04817500160,-9.09140290800,Gaia_DR3,Lemon,2023,2023MNRAS.520.3305L,,---,,70.04820000000,-9.09110000000,70.04824133275,-9.09117778905,2.1050,---,2023MNRAS.520.3305L,2.105,pG,LEMON4,2.094014,0,1.90553000,,VizieR_J/A+A/683/A112/lqac6,1,DR3Gaia044011.594-090527.43,2,50,1.22257130322,49.04247,-0.15867490910,39.72632,19.2131,0.11990,0,0,1,3185808420059318016,70.04817508052,0.1882,-9.09140291621,0.1319,-0.1415,0.2675,-0.5290,0.353,-0.353,0.253,-0.004,0.228,19.148240,0.004469,19.107014,0.034183,18.355238,0.033795,1.627,0.751776,19.148240,0.004469,0,,---,---,---,---,---,---,---,---
J0440-0905,B,04,40,11.5938,-,09,05,27.430,Double,1.688000,70.04830766390,-9.09095267010,Gaia_DR3,Lemon,2023,2023MNRAS.520.3305L,,---,,70.04820000000,-9.09110000000,70.04824133275,-9.09117778905,2.1050,---,2023MNRAS.520.3305L,2.105,pG,LEMON4,---,--,1.90553000,,VizieR_J/A+A/683/A112/lqac6,1,DR3Gaia044011.594-090527.43,1,49,1.22257353929,64.53569,-0.15866707264,52.37259,19.8740,0.13306,0,0,1,3185808420058249856,70.04830756658,0.4652,-9.09095259562,0.2629,0.6375,0.5473,1.1650,0.464,-0.167,0.762,0.433,0.591,19.919819,0.010324,---,---,---,---,---,---,19.919819,0.010324,1,J044011.60-090528.0,14.961,13.912,10.731,8.303,0.035,0.037,0.108,0.254
B0445+123,A,04,48,21.9900,+,12,27,55.410,Double,1.318000,72.09162500000,12.46539170000,Publication,Argo,2003,2003MNRAS.338..957A,,---,,72.09162500000,12.46539170000,72.09178960000,12.46547930000,---,0.5583,,---,,,---,--,---,,,0,,,---,---,---,---,---,---,---,,--,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,J044822.00+122755.6,14.951,14.104,11.572,8.169,0.037,0.048,0.275,---
B0445+123,G1,04,48,22.0535,+,12,27,55.770,Double,1.318000,72.09188960000,12.46549170000,Publication,Argo,2003,2003MNRAS.338..957A,,---,,72.09188960000,12.46549170000,72.09178960000,12.46547930000,---,0.5583,2023A&A...672A..20M,---,,,---,--,---,,,0,,,---,---,---,---,---,---,---,,--,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,,---,---,---,---,---,---,---,---
B0445+123,B,04,48,22.0690,+,12,27,56.041,Double,1.318000,72.09195420000,12.46556690000,Publication,Argo,2003,2003MNRAS.338..957A,,---,,72.09195420000,12.46556690000,72.09178960000,12.46547930000,---,---,,---,,,---,--,---,,,0,,,---,---,---,---,---,---,---,,--,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,,---,---,---,---,---,---,---,---
B0445+123,G2,04,48,22.1537,+,12,27,55.772,Double,1.318000,72.09230690000,12.46549220000,Publication,Argo,2003,2003MNRAS.338..957A,,---,,72.09230690000,12.46549220000,72.09178960000,12.46547930000,---,---,,---,,,---,--,---,,,0,,,---,---,---,---,---,---,---,,--,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,,---,---,---,---,---,---,---,---
J0457-7820,C,04,57,23.0908,-,78,20,50.800,Triple,4.891000,74.34621152790,-78.34744439460,Gaia_DR3,Lemon,2023,2023MNRAS.520.3305L,,---,,74.34830000000,-78.34660000000,74.34788483143,-78.34678565517,3.1450,---,2023MNRAS.520.3305L,3.145,j,LEMON4,3.166263,16,---,,,1,DR3Gaia045723.480-782047.91,3,42,1.29758626599,70.96932,-1.36742091241,52.27011,19.6507,0.12404,0,0,1,4624301922219288704,74.34621133802,0.2912,-78.34744425041,0.3236,-0.0337,0.3180,-0.1059,0.368,0.231,0.389,0.287,0.426,19.589592,0.006135,19.996370,0.071878,18.895468,0.057794,1.296,1.100903,19.589592,0.006135,0,,---,---,---,---,---,---,---,---
J0457-7820,A,04,57,23.4801,-,78,20,47.907,Triple,4.891000,74.34783386290,-78.34664079410,Gaia_DR3,Lemon,2023,2023MNRAS.520.3305L,,---,,74.34830000000,-78.34660000000,74.34788483143,-78.34678565517,3.1450,0.6290,2023MNRAS.520.3305L,3.145,j,LEMON4,---,--,---,,,1,DR3Gaia045723.480-782047.91,1,41,1.29761468643,49.27643,-1.36740680772,45.98347,18.9253,0.11259,0,0,1,4624301922220808832,74.34783391015,0.1628,-78.34664075187,0.1685,-0.1388,0.1724,-0.8053,0.059,0.031,0.218,0.049,0.217,18.825611,0.005164,19.108614,0.052586,17.931923,0.036480,1.518,1.176691,18.827909,0.005172,1,J045723.56-782048.3,13.709,12.757,9.047,6.692,0.024,0.023,0.023,0.043
J0457-7820,B,04,57,23.9062,-,78,20,46.578,Triple,4.891000,74.34960910350,-78.34627177680,Gaia_DR3,Lemon,2023,2023MNRAS.520.3305L,,---,,74.34830000000,-78.34660000000,74.34788483143,-78.34678565517,3.1450,---,2023MNRAS.520.3305L,3.145,j,LEMON4,---,--,---,,,1,DR3Gaia045723.480-782047.91,2,42,1.29764571319,49.15020,-1.36740037632,61.41998,19.1693,0.11641,0,0,1,4624301922219288576,74.34960887801,0.1862,-78.34627177317,0.1847,-0.0623,0.1903,-0.3273,0.269,-0.095,0.255,0.251,0.238,19.078531,0.005714,---,---,---,---,---,---,19.078531,0.005714,0,,---,---,---,---,---,---,---,---
J050129.5-073309,A,05,01,29.4178,-,07,33,07.126,Double,2.698000,75.37257428940,-7.55197950180,Gaia_DR3,Tubin-Arenas,2023,2023A&A...672L...9T,,---,,75.37257400000,-7.55197900000,75.37287554475,-7.55175312750,2.4700,---,2023A&A...672L...9T,2.470,nG,SRGQQ,2.480677,0,---,,,1,DR3Gaia050129.418-073307.13,1,49,1.31549958244,55.15469,-0.13180689268,45.57338,17.0341,0.08963,0,0,1,3187010529866092672,75.37257429031,0.0506,-7.55197950422,0.0412,0.0137,0.0707,0.1936,0.034,0.001,0.070,-0.034,0.057,16.950620,0.003182,17.099630,0.007985,16.532824,0.008148,1.251,0.566807,16.950620,0.003182,1,J050129.46-073306.4,13.231,12.657,9.638,7.198,0.024,0.026,0.041,0.101
J050129.5-073309,G,05,01,29.4480,-,07,33,05.760,Double,2.698000,75.37270000000,-7.55160000000,Publication,Tubin-Arenas,2023,2023A&A...672L...9T,,---,,75.37270000000,-7.55160000000,75.37287554475,-7.55175312750,---,---,2023A&A...672L...9T,2.470,nG,SRGQQ,---,--,---,,,0,,,---,---,---,---,---,---,---,,--,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,,---,---,---,---,---,---,---,---
J050129.5-073309,B,05,01,29.5624,-,07,33,05.496,Double,2.698000,75.37317680010,-7.55152675320,Gaia_DR3,Tubin-Arenas,2023,2023A&A...672L...9T,,---,,75.37317600000,-7.55152600000,75.37287554475,-7.55175312750,2.4700,---,2023A&A...672L...9T,2.470,nG,SRGQQ,2.499181,0,---,,,1,DR3Gaia050129.418-073307.13,3,49,1.31551010066,54.84436,-0.13179899435,43.67911,17.4267,0.08932,0,0,1,3187010529864990464,75.37317681119,0.0589,-7.55152676416,0.0478,0.0805,0.0827,0.9741,0.156,0.156,0.081,-0.001,0.066,17.330334,0.004326,17.536879,0.014472,16.873451,0.015509,1.241,0.663427,17.330334,0.004326,0,,---,---,---,---,---,---,---,---
DESJ0501-4118,B,05,01,45.9191,-,41,18,01.353,Double,3.722000,75.44132966690,-41.30037573660,Gaia_DR3,Lemon,2020,2020MNRAS.494.3491L,,---,,75.44130000000,-41.30030000000,75.44200875785,-41.30029221055,2.1000,---,2020MNRAS.494.3491L,---,,,2.107875,0,2.10787000,,VizieR_J/A+A/683/A112/lqac6,1,DR3Gaia050146.245-411800.75,1,47,1.31669958286,53.78268,-0.72082752157,51.98999,18.8697,0.14698,0,0,1,4813484717527554560,75.44132974291,0.1115,-41.30037572482,0.1324,-0.0631,0.1324,-0.4768,0.138,0.073,0.147,-0.117,0.165,18.764828,0.005407,18.819143,0.024579,18.071045,0.021818,1.487,0.748098,18.764828,0.005407,0,,---,---,---,---,---,---,---,---
DESJ0501-4118,A,05,01,46.2451,-,41,18,00.751,Double,3.722000,75.44268784880,-41.30020868450,Gaia_DR3,Lemon,2020,2020MNRAS.494.3491L,,---,,75.44130000000,-41.30030000000,75.44200875785,-41.30029221055,2.1000,---,2020MNRAS.494.3491L,---,,,2.114458,0,2.11446000,,VizieR_J/A+A/683/A112/lqac6,1,DR3Gaia050146.245-411800.75,2,47,1.31672332411,44.68069,-0.72082462123,48.43998,18.6459,0.15704,0,0,1,4813484648808076544,75.44268789038,0.0961,-41.30020868328,0.1115,0.0738,0.1140,0.6471,0.257,0.058,0.126,0.251,0.140,18.545580,0.004671,18.699413,0.021207,18.103916,0.017725,1.262,0.595497,18.545580,0.004671,0,,---,---,---,---,---,---,---,---
J0504-2446,B,05,04,38.7208,-,24,46,31.505,Double,2.050000,76.16133654910,-24.77541803120,Gaia_DR3,Lemon,2023,2023MNRAS.520.3305L,,---,,76.16160000000,-24.77520000000,76.16158352235,-24.77524253185,0.7710,---,2023MNRAS.520.3305L,0.771,p,LEMON4,---,--,---,,,1,DR3Gaia050438.839-244630.24,2,54,1.32926609673,49.38949,-0.43241250213,65.62627,20.3113,0.24768,0,0,1,2959785663027256960,76.16133657329,0.3701,-24.77541804828,0.5148,-0.6129,0.6117,-1.0020,0.742,-0.627,0.466,0.397,0.689,20.468872,0.013064,19.987162,0.205126,18.496290,0.203678,3.720,1.490871,20.467886,0.013053,0,,---,---,---,---,---,---,---,---
J0504-2446,A,05,04,38.8393,-,24,46,30.241,Double,2.050000,76.16183049560,-24.77506703250,Gaia_DR3,Lemon,2023,2023MNRAS.520.3305L,,---,,76.16160000000,-24.77520000000,76.16158352235,-24.77524253185,0.7710,---,2023MNRAS.520.3305L,0.771,p,LEMON4,---,--,---,,,1,DR3Gaia050438.839-244630.24,1,67,1.32927468594,46.58205,-0.43240648196,53.75767,19.2143,0.28471,0,0,1,2959785663027256832,76.16183050493,0.1355,-24.77506717992,0.1722,0.7088,0.2204,3.2164,0.643,0.113,0.166,-0.633,0.209,19.178066,0.012101,18.852840,0.029494,17.777225,0.019062,2.508,1.075615,19.181060,0.012132,1,J050438.79-244630.6,13.296,12.843,10.017,7.318,0.025,0.025,0.042,0.096
HE0512-3329,B,05,14,10.8907,-,33,26,22.897,Double,0.646000,78.54537794070,-33.43969366010,Gaia_DR3,Wucknitz,2003,2003A&A...405..445W,,---,,78.54491670000,-33.43958330000,78.54540825290,-33.43960756325,1.5650,---,2002A&ARv..10..263C,---,,,---,--,1.56900000,KEEP(s),VizieR_J/ApJS/221/12/table1,1,DR3Gaia051410.905-332622.28,1,45,1.37087546495,41.04238,-0.58363269967,41.76974,18.2510,0.12813,0,0,1,4826116113266112768,78.54537817115,0.1973,-33.43969371808,0.0980,-0.0213,0.1396,-0.1523,0.159,-0.014,0.262,0.158,0.159,18.207695,0.005822,---,---,---,---,---,---,18.207695,0.005822,1,J051410.90-332622.4,13.290,11.713,8.540,6.257,0.025,0.021,0.020,0.045
HE0512-3329,A,05,14,10.9053,-,33,26,22.277,Double,0.646000,78.54543856510,-33.43952146640,Gaia_DR3,Wucknitz,2003,2003A&A...405..445W,,---,,78.54497730000,-33.43941080000,78.54540825290,-33.43960756325,1.5650,0.9310,2002A&ARv..10..263C,---,,,---,--,1.56900000,KEEP(s),VizieR_J/ApJS/221/12/table1,1,DR3Gaia051410.905-332622.28,2,50,1.37087647223,46.85118,-0.58362981583,55.44855,17.9784,0.13687,0,0,1,4826116113268202112,78.54543833746,0.1317,-33.43952144944,0.1129,-0.1844,0.1509,-1.2217,0.233,0.101,0.163,-0.210,0.154,17.953390,0.004112,17.762447,0.015797,16.699656,0.014529,2.200,1.062792,17.956458,0.004118,0,,---,---,---,---,---,---,---,---
HE0512-3329,G,05,14,10.9100,-,33,26,22.400,Double,0.646000,78.54545833330,-33.43955555560,Publication,Wucknitz,2003,2003A&A...405..445W,,---,,78.54545833330,-33.43955555560,78.54540825290,-33.43960756325,---,0.9310,2002A&ARv..10..263C,---,,,---,--,1.56900000,KEEP(s),VizieR_J/ApJS/221/12/table1,0,,,---,---,---,---,---,---,---,,--,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,,---,---,---,---,---,---,---,---
